VIN_1_10,County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Electric_Utility
5YJ3E1EB8J,snohomish,woodway,WA,98020,2018,tesla,model 3,battery electric vehicle (bev),215,0,32,474821343,PUGET SOUND ENERGY INC
JHMZC5F1XJ,snohomish,edmonds,WA,98026,2018,honda,clarity,plug-in hybrid electric vehicle (phev),47,0,21,474583672,PUGET SOUND ENERGY INC
1N4AZ1CP8J,kitsap,poulsbo,WA,98370,2018,nissan,leaf,battery electric vehicle (bev),151,0,23,345096286,PUGET SOUND ENERGY INC
1G1FZ6S09L,thurston,lacey,WA,98516,2020,chevrolet,bolt ev,battery electric vehicle (bev),259,0,22,266852687,PUGET SOUND ENERGY INC
3C3CFFGE7G,kitsap,bremerton,WA,98310,2016,fiat,500,battery electric vehicle (bev),84,0,23,478450444,PUGET SOUND ENERGY INC
3C3CFFGE9E,king,kirkland,WA,98033,2014,fiat,500,battery electric vehicle (bev),87,0,48,115602882,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KNDRMDLH4P,king,bellevue,WA,98006,2023,kia,sorento,plug-in hybrid electric vehicle (phev),32,0,41,231166624,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1FY6S01L,king,seattle,WA,98125,2020,chevrolet,bolt ev,battery electric vehicle (bev),259,0,46,258040317,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1FMCU0LZ8M,king,normandy park,WA,98166,2021,ford,escape,plug-in hybrid electric vehicle (phev),38,0,33,192281134,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2C4RC1L78P,king,tukwila,WA,98188,2023,chrysler,pacifica,plug-in hybrid electric vehicle (phev),32,0,11,251595585,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EB5K,king,sammamish,WA,98075,2019,tesla,model 3,battery electric vehicle (bev),220,0,41,476797261,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KNDCC3LG8L,king,kirkland,WA,98033,2020,kia,niro,battery electric vehicle (bev),239,0,48,133830994,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1FY6S09L,king,kirkland,WA,98034,2020,chevrolet,bolt ev,battery electric vehicle (bev),259,0,45,103630579,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JTDKARFP1J,king,bellevue,WA,98005,2018,toyota,prius prime,plug-in hybrid electric vehicle (phev),25,0,48,475615857,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EB5J,king,bellevue,WA,98008,2018,tesla,model 3,battery electric vehicle (bev),215,0,48,475356409,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EB6J,king,bellevue,WA,98006,2018,tesla,model 3,battery electric vehicle (bev),215,0,41,223869817,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EA5L,thurston,olympia,WA,98512,2020,tesla,model 3,battery electric vehicle (bev),266,0,35,124645867,PUGET SOUND ENERGY INC
5YJSA1CN2D,king,burien,WA,98146,2013,tesla,model s,battery electric vehicle (bev),208,69900,34,220494032,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJSA1E23J,king,kirkland,WA,98033,2018,tesla,model s,battery electric vehicle (bev),249,0,48,210091178,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJSA1H17E,kitsap,bainbridge island,WA,98110,2014,tesla,model s,battery electric vehicle (bev),208,69900,23,238571336,PUGET SOUND ENERGY INC
5YJ3E1EA5K,king,renton,WA,98058,2019,tesla,model 3,battery electric vehicle (bev),220,0,11,315018392,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WA1VABGEXM,king,bothell,WA,98011,2021,audi,e-tron,battery electric vehicle (bev),222,0,1,144906702,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJXCAE24L,clark,vancouver,WA,98685,2020,tesla,model x,battery electric vehicle (bev),293,0,18,112693171,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
2C4RC1L76P,king,tukwila,WA,98188,2023,chrysler,pacifica,plug-in hybrid electric vehicle (phev),32,0,11,244514707,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1FADP5CU0G,king,seattle,WA,98119,2016,ford,c-max,plug-in hybrid electric vehicle (phev),19,0,36,182971190,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
WA1E2AFY9N,king,sammamish,WA,98074,2022,audi,q5,plug-in hybrid electric vehicle (phev),22,0,41,182317145,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JTMAB3FV7M,king,kirkland,WA,98033,2021,toyota,rav4 prime,plug-in hybrid electric vehicle (phev),42,0,45,186987552,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WVWKR7AU1K,king,kirkland,WA,98033,2019,volkswagen,e-golf,battery electric vehicle (bev),125,0,45,221438612,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4AZ1CP1J,king,bellevue,WA,98007,2018,nissan,leaf,battery electric vehicle (bev),151,0,48,345172726,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
YV4BR0DM1N,king,seattle,WA,98122,2022,volvo,xc60,plug-in hybrid electric vehicle (phev),18,0,37,180300095,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJSA1H24F,king,bellevue,WA,98006,2015,tesla,model s,battery electric vehicle (bev),208,0,41,475620897,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
3FA6P0SU5H,king,issaquah,WA,98027,2017,ford,fusion,plug-in hybrid electric vehicle (phev),21,0,41,304663348,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJSA1H1XE,king,kent,WA,98031,2014,tesla,model s,battery electric vehicle (bev),208,69900,47,208455460,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1C4RJYE68P,snohomish,lynnwood,WA,98036,2023,jeep,grand cherokee,plug-in hybrid electric vehicle (phev),25,0,21,239703509,PUGET SOUND ENERGY INC
YV4BR0CL3M,king,bothell,WA,98011,2021,volvo,xc90,plug-in hybrid electric vehicle (phev),18,0,1,271071188,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WAUTPBFF5G,kitsap,bremerton,WA,98310,2016,audi,a3,plug-in hybrid electric vehicle (phev),16,0,23,125859289,PUGET SOUND ENERGY INC
